org_name,ein,ntee,year,term,count
ACLU Foundation,136213516,R,2022,advocacy,1
ACLU Foundation,136213516,R,2022,binary,1
ACLU Foundation,136213516,R,2022,equity,6
ACLU Foundation,136213516,R,2022,impact,2
ACLU Foundation,136213516,R,2022,inclusion,2
ACLU Foundation,136213516,R,2022,people of color,1
ACLU Foundation,136213516,R,2022,race,3
ACLU Foundation,136213516,R,2022,advocate,1
ACLU Foundation,136213516,R,2022,disabilities,1
ACLU Foundation,136213516,R,2022,gender,2
ACLU Foundation,136213516,R,2022,justice,1
ACLU Foundation,136213516,R,2022,women,1
HRC Foundation,521481896,R,2016,acknowledgement,1
HRC Foundation,521481896,R,2016,advocacy,3
HRC Foundation,521481896,R,2016,discrimination,1
HRC Foundation,521481896,R,2016,equity,2
HRC Foundation,521481896,R,2016,inclusive,3
HRC Foundation,521481896,R,2016,leadership,1
HRC Foundation,521481896,R,2016,race,2
HRC Foundation,521481896,R,2016,advocate,1
HRC Foundation,521481896,R,2016,equality,8
HRC Foundation,521481896,R,2016,gender,6
HRC Foundation,521481896,R,2016,lgbtq,24
HRC Foundation,521481896,R,2016,promoting,1
HRC Foundation,521481896,R,2016,women,3
HRC Foundation,521481896,R,2018,acknowledgement,1
HRC Foundation,521481896,R,2018,advocacy,5
HRC Foundation,521481896,R,2018,bias,1
HRC Foundation,521481896,R,2018,discrimination,2
HRC Foundation,521481896,R,2018,diversity,2
HRC Foundation,521481896,R,2018,equity,3
HRC Foundation,521481896,R,2018,gender identity,1
HRC Foundation,521481896,R,2018,impact,2
HRC Foundation,521481896,R,2018,inclusion,2
HRC Foundation,521481896,R,2018,inclusive,7
HRC Foundation,521481896,R,2018,leadership,4
HRC Foundation,521481896,R,2018,race,2
HRC Foundation,521481896,R,2018,solidarity,1
HRC Foundation,521481896,R,2018,advocate,3
HRC Foundation,521481896,R,2018,equality,14
HRC Foundation,521481896,R,2018,gender,10
HRC Foundation,521481896,R,2018,lgbtq,42
HRC Foundation,521481896,R,2018,promoting,1
HRC Foundation,521481896,R,2018,justice,1
HRC Foundation,521481896,R,2018,women,1
HRC Foundation,521481896,R,2020,acknowledgement,1
HRC Foundation,521481896,R,2020,advocacy,17
HRC Foundation,521481896,R,2020,bias,2
HRC Foundation,521481896,R,2020,binary,3
HRC Foundation,521481896,R,2020,discrimination,9
HRC Foundation,521481896,R,2020,diversity,3
HRC Foundation,521481896,R,2020,equity,3
HRC Foundation,521481896,R,2020,gender identity,1
HRC Foundation,521481896,R,2020,impact,7
HRC Foundation,521481896,R,2020,inclusion,6
HRC Foundation,521481896,R,2020,inclusive,5
HRC Foundation,521481896,R,2020,latinx,3
HRC Foundation,521481896,R,2020,leadership,4
HRC Foundation,521481896,R,2020,race,2
HRC Foundation,521481896,R,2020,racial,1
HRC Foundation,521481896,R,2020,sexual orientation,2
HRC Foundation,521481896,R,2020,advocate,8
HRC Foundation,521481896,R,2020,black and latinx,3
HRC Foundation,521481896,R,2020,disabilities,1
HRC Foundation,521481896,R,2020,discriminatory,1
HRC Foundation,521481896,R,2020,equality,18
HRC Foundation,521481896,R,2020,gender,18
HRC Foundation,521481896,R,2020,lgbtq,47
HRC Foundation,521481896,R,2020,promoting,1
HRC Foundation,521481896,R,2020,justice,1
HRC Foundation,521481896,R,2020,women,3
HRC Foundation,521481896,R,2022,acknowledgement,1
HRC Foundation,521481896,R,2022,advocacy,5
HRC Foundation,521481896,R,2022,bias,1
HRC Foundation,521481896,R,2022,binary,8
HRC Foundation,521481896,R,2022,bipoc,2
HRC Foundation,521481896,R,2022,discrimination,4
HRC Foundation,521481896,R,2022,diversity,3
HRC Foundation,521481896,R,2022,equity,10
HRC Foundation,521481896,R,2022,gender identity,1
HRC Foundation,521481896,R,2022,impact,8
HRC Foundation,521481896,R,2022,inclusion,7
HRC Foundation,521481896,R,2022,inclusive,6
HRC Foundation,521481896,R,2022,latinx,2
HRC Foundation,521481896,R,2022,leadership,2
HRC Foundation,521481896,R,2022,marginalized,1
HRC Foundation,521481896,R,2022,race,3
HRC Foundation,521481896,R,2022,racial,1
HRC Foundation,521481896,R,2022,sexual orientation,2
HRC Foundation,521481896,R,2022,activists,1
HRC Foundation,521481896,R,2022,advocate,4
HRC Foundation,521481896,R,2022,barrier,1
HRC Foundation,521481896,R,2022,barriers,1
HRC Foundation,521481896,R,2022,black and latinx,2
HRC Foundation,521481896,R,2022,discriminatory,2
HRC Foundation,521481896,R,2022,diversify,1
HRC Foundation,521481896,R,2022,equality,26
HRC Foundation,521481896,R,2022,gender,22
HRC Foundation,521481896,R,2022,lgbtq,67
HRC Foundation,521481896,R,2022,marginalize,1
HRC Foundation,521481896,R,2022,promoting,1
HRC Foundation,521481896,R,2022,justice,3
Goodwill Intl,530196517,P,2016,diversity,3
Goodwill Intl,530196517,P,2016,equity,2
Goodwill Intl,530196517,P,2016,inclusion,3
Goodwill Intl,530196517,P,2016,leadership,5
Goodwill Intl,530196517,P,2016,barrier,3
Goodwill Intl,530196517,P,2016,barriers,3
Goodwill Intl,530196517,P,2016,disabilities,1
Goodwill Intl,530196517,P,2016,equitable,1
Goodwill Intl,530196517,P,2016,justice,3
Goodwill Intl,530196517,P,2018,diversity,1
Goodwill Intl,530196517,P,2018,equity,3
Goodwill Intl,530196517,P,2018,impact,2
Goodwill Intl,530196517,P,2018,inclusion,1
Goodwill Intl,530196517,P,2018,leadership,3
Goodwill Intl,530196517,P,2018,barrier,6
Goodwill Intl,530196517,P,2018,barriers,6
Goodwill Intl,530196517,P,2018,disabilities,3
Goodwill Intl,530196517,P,2018,equitable,1
Goodwill Intl,530196517,P,2018,justice,4
Goodwill Intl,530196517,P,2018,underserved,1
Goodwill Intl,530196517,P,2020,advocacy,1
Goodwill Intl,530196517,P,2020,diversity,1
Goodwill Intl,530196517,P,2020,equity,4
Goodwill Intl,530196517,P,2020,growth mindset,3
Goodwill Intl,530196517,P,2020,impact,4
Goodwill Intl,530196517,P,2020,inclusion,1
Goodwill Intl,530196517,P,2020,inclusive,2
Goodwill Intl,530196517,P,2020,leadership,2
Goodwill Intl,530196517,P,2020,race,2
Goodwill Intl,530196517,P,2020,barrier,5
Goodwill Intl,530196517,P,2020,barriers,5
Goodwill Intl,530196517,P,2020,disabilities,3
Goodwill Intl,530196517,P,2020,justice,3
Goodwill Intl,530196517,P,2020,underserved,1
Goodwill Intl,530196517,P,2022,diversity,2
Goodwill Intl,530196517,P,2022,equity,5
Goodwill Intl,530196517,P,2022,impact,1
Goodwill Intl,530196517,P,2022,inclusion,1
Goodwill Intl,530196517,P,2022,leadership,2
Goodwill Intl,530196517,P,2022,race,1
Goodwill Intl,530196517,P,2022,racial,2
Goodwill Intl,530196517,P,2022,barrier,8
Goodwill Intl,530196517,P,2022,barriers,8
Goodwill Intl,530196517,P,2022,disabilities,3
Goodwill Intl,530196517,P,2022,justice,4
American Red Cross,530196605,P,2016,acknowledgement,1
American Red Cross,530196605,P,2016,advocacy,1
American Red Cross,530196605,P,2016,equity,2
American Red Cross,530196605,P,2016,impact,1
American Red Cross,530196605,P,2016,victim,1
American Red Cross,530196605,P,2018,acknowledgement,1
American Red Cross,530196605,P,2018,advocacy,1
American Red Cross,530196605,P,2018,equity,2
American Red Cross,530196605,P,2018,impact,1
American Red Cross,530196605,P,2018,leadership,1
American Red Cross,530196605,P,2018,victim,3
American Red Cross,530196605,P,2020,acknowledgement,1
American Red Cross,530196605,P,2020,advocacy,1
American Red Cross,530196605,P,2020,equity,2
American Red Cross,530196605,P,2020,impact,1
American Red Cross,530196605,P,2020,race,1
American Red Cross,530196605,P,2020,victim,4
American Red Cross,530196605,P,2022,acknowledgement,1
American Red Cross,530196605,P,2022,advocacy,1
American Red Cross,530196605,P,2022,equity,3
American Red Cross,530196605,P,2022,impact,1
American Red Cross,530196605,P,2022,race,1
American Red Cross,530196605,P,2022,victim,3
Kennedy Center,530245017,A,2016,acknowledgement,1
Kennedy Center,530245017,A,2016,advocacy,1
Kennedy Center,530245017,A,2016,equity,2
Kennedy Center,530245017,A,2018,acknowledgement,1
Kennedy Center,530245017,A,2018,advocacy,1
Kennedy Center,530245017,A,2018,equity,2
Kennedy Center,530245017,A,2022,acknowledgement,1
Kennedy Center,530245017,A,2022,advocacy,1
Kennedy Center,530245017,A,2022,equity,2
Kennedy Center,530245017,A,2022,race,1
